neg,pos,article,category_lvl1,category_lvl2
0.2356628758155133,0.0954215829083334,Matter,Science,Physics
0.1520640484065988,0.0972018347441329,Common_Tern,Science,Biology
0.1697097898177811,0.132468881732855,Restoration_literature,Language and literature,Literature types
0.0765882633153121,0.1321503257110617,European_Kingfisher,Science,Biology
0.1195820415105625,0.2082752679331328,Abuja,Geography,African Geography
0.057518041389979,0.1987133755952176,Dublin,Geography,European Geography
0.068477361736459,0.1765468750402113,Bassoon,Music,Musical Instruments
0.0997016850712504,0.1792957830232537,Indian_Institutes_of_Technology,Citizenship,Education
0.080676351421386,0.1867607256059789,Baroque,Art,Art
0.2549061183012925,0.0542081660566779,Myanmar,Geography,Geography of Asia
0.2590492987632423,0.0952536268156709,Anaconda,Science,Biology
0.2311706121658623,0.0856130056435097,James_I_of_England,History,British History
0.2311706121658623,0.0856130056435097,James_I_of_England,People,Monarchs of Great Britain
0.1062051715179635,0.1183694437348663,S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,Geography,African Geography
0.2254707212005654,0.1707318814805879,Brian_Close,People,Sports and games people
0.2164125801597251,0.1039854567250519,Badger,Science,Biology
0.244905511179691,0.0842064976025066,Stephen_Harper,People,Political People
0.1098097881357704,0.2417735560072301,Liechtenstein,Geography,European Geography
0.2862480719189571,0.1180971109813929,Rainforest,Citizenship,Environment
0.2057856153924559,0.0670676344597253,Turks_and_Caicos_Islands,Geography,Central and South American Geography
0.2430382195074238,0.1202295058236299,Honduras,Geography,Central and South American Geography
0.2102406045643038,0.1047926167165389,Indonesia,Geography,Geography of Asia
0.1209438579374935,0.0972691759195842,Zirconium,Science,Chemistry
0.2630881516650478,0.0878425150006676,Philosophy_of_mind,Religion,Philosophy
0.1535769831148754,0.1850100619679455,Peace,Citizenship,Conflict and Peace
0.1252258280308978,0.1033222161480949,Bird_of_prey,Science,Biology
0.2236499300780392,0.1883079071258898,Health,Science,Biology
0.4276429704418175,0.0878928324836862,Asperger_syndrome,Science,Biology
0.0461878354884475,0.2585390460223749,HD_28185_b,Science,Physics
0.2057513653000058,0.0828034375752517,Great_Salt_Lake,Geography,General Geography
0.137002327249863,0.1251072615274134,The_Catlins,Geography,Geography of Oceania Australasia
0.1651407775187105,0.0717788951997107,Troop_sleeper,Design and Technology,Railway transport
0.1670789987247595,0.1547517809637738,Cayman_Islands,Geography,Central and South American Geography
0.161184048751913,0.0688271926949366,Llywelyn_the_Great,History,British History
0.161184048751913,0.0688271926949366,Llywelyn_the_Great,People,Historical figures
0.0482831246698284,0.2899975209451376,Juice,Everyday life,Drink
0.4542313204734083,0.0467597966840969,Mount_Nyiragongo,Geography,African Geography
0.1402771553110968,0.0954056605082473,Caratacus,History,British History
0.1402771553110968,0.0954056605082473,Caratacus,People,Historical figures
0.3987368900301426,0.0627327590681393,Atheism,Religion,Philosophy
0.1014774306195694,0.0659371276313443,Archbishop_of_Canterbury,People,Religious figures and leaders
0.2235588383413194,0.0485060582604575,List_of_European_Union_member_states_by_accession,Geography,European Geography
0.2235588383413194,0.0485060582604575,List_of_European_Union_member_states_by_accession,History,Recent History
0.1841961912027171,0.1118947009210525,Ape,Science,Biology
0.271577166785618,0.0707928076948594,David_Blanchflower,People,Political People
0.0902640111139914,0.1626315480882398,The_Beatles_discography,Music,Musical Recordings and compositions
0.1075634738185181,0.132130164067597,Silurian,Geography,Geology and geophysics
0.0916868363382654,0.3492097787204678,Hip_hop_music,Music,Musical genres styles eras and events
0.2432191493494872,0.0817543792966427,Swedish_allotment_system,History,Military History and War
0.1233007309777539,0.1709953666870327,Ghana,Geography,African Geography
0.0820599910821,0.1938752474764005,Triathlon,Everyday life,Sports
0.3074204351476564,0.067098406824848,Mount_Pinatubo,Geography,Geography of Asia
0.1077180367750711,0.1098339808611187,Christianity,Religion,Religious movements traditions and organizations
