category_lvl1,neg,pos,sentiment
Art,0.108213667832077,0.15669339657482767,1
Business Studies,0.17958921966958588,0.13911855042264182,-1
Citizenship,0.2198742976908199,0.10489714225132975,-1
Countries,0.17695480328996488,0.1285369109117864,-1
Design and Technology,0.15103017493867063,0.14376040661550119,1
Everyday life,0.14862759480954202,0.1657383534756334,1
Geography,0.16122391369213443,0.1320096951680062,-1
History,0.2215809833250215,0.09010037471932247,-1
IT,0.1453611634696726,0.19969365279359944,1
Language and literature,0.16940960383323658,0.13416459547152182,-1
Mathematics,0.11612799426458181,0.13499613961347726,0
Music,0.08994852422002966,0.21967447079383204,1
People,0.1628971668426835,0.1453897170773683,1
Religion,0.16650390509820476,0.09767365941277922,-1
Science,0.17208423588158311,0.12178745879508217,-1
